	name	Id	Label	timeset	degree	closeness	eccentricity	strength	betweenness	evcent	module	pi	zi	kingdom	phylum	class	order	family	genus	species	centrality	marker1	marker2	marker3	marker4	marker5
31	OTU_1042	OTU_1042	NA	NA	75	1.54E-05	11	74.88662068	0	1	1	0.077511111	0.200392179	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Competibacterales	f__Competibacteraceae	g__Candidatus_Competibacter	s__norank	-0.066747188	NA	2	3	4	NA
32	OTU_105	OTU_105	NA	NA	12	2.37E-05	13	11.55471568	1076.25	3.59E-14	8	0	-0.740058614	k__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Paludicola	s__norank	77.3830536	1	2	3	NA	5
33	OTU_1050	OTU_1050	NA	NA	62	5.06E-06	1	61.94166456	0	6.80E-17	2	0	NA	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank	NA	NA	2	NA	NA	NA
34	OTU_1054	OTU_1054	NA	NA	62	5.06E-06	1	61.94166456	0	1.36E-16	2	0	NA	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_acetotolerans	NA	NA	2	NA	NA	NA
35	OTU_1056	OTU_1056	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	NA	1	NA	3	NA	NA
36	OTU_1058	OTU_1058	NA	NA	42	1.53E-05	10	41.87110553	6.012820513	6.21E-12	3	0	0.867202131	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank	-0.010120776	NA	NA	NA	4	NA
37	OTU_1059	OTU_1059	NA	NA	75	1.54E-05	11	74.88662068	0	1	1	0.077511111	0.200392179	k__Bacteria	p__unidentified_Bacteria	c__Babeliae	o__Babeliales	f__norank	g__norank	s__norank	-0.066747188	NA	NA	NA	4	NA
38	OTU_106	OTU_106	NA	NA	8	1.53E-05	9	7.805320747	1858	2.12E-10	3	0	-0.990682631	k__Bacteria	p__unidentified_Bacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__norank	s__norank	0.242349912	NA	2	3	4	NA
39	OTU_1060	OTU_1060	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	s__norank	2.307866635	NA	NA	NA	NA	5
40	OTU_1062	OTU_1062	NA	NA	5	6.29E-06	9	4.955269249	69.5	0.018215077	2	0	-2.054709818	k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__unidentified_0319-6G20	g__unidentified_0319-6G20	s\_\_bacterium\_enrichment\_culture\_clone\_B126	NA	1	NA	NA	NA	NA
41	OTU_1065	OTU_1065	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__A21b	g__norank	s__norank	2.307866635	NA	NA	3	NA	5
42	OTU_1066	OTU_1066	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatimonadales	f__Gemmatimonadaceae	g__norank	s__norank	NA	NA	NA	3	NA	NA
43	OTU_107	OTU_107	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__UCG-008	s__norank	2.307866635	1	NA	3	4	5
44	OTU_1071	OTU_1071	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Acidobacteriota	c__Holophagae	o__Subgroup_7	f__norank	g__norank	s__norank	2.307866635	NA	NA	3	NA	5
45	OTU_1076	OTU_1076	NA	NA	42	1.53E-05	10	41.87110553	6.512820513	6.21E-12	3	0	0.867202131	k__Bacteria	p__unidentified_Bacteria	c__Vicinamibacteria	o__Vicinamibacterales	f__norank	g__norank	s__norank	-0.010120776	NA	NA	NA	4	NA
46	OTU_108	OTU_108	NA	NA	71	1.54E-05	10	70.86088627	3.412320084	4.33E-09	2	0	0.535257834	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_intestinalis	-0.023296404	NA	2	NA	4	NA
47	OTU_1081	OTU_1081	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__unidentified_Bacteria	c__Thermoleophilia	o__Gaiellales	f__norank	g__norank	s__norank	NA	NA	2	3	NA	NA
48	OTU_1083	OTU_1083	NA	NA	16	5.79E-06	6	15.79540192	28.75	1.02E-16	6	0	1.090854646	k__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__norank	g__norank	s__norank	NA	NA	2	NA	NA	NA
49	OTU_1085	OTU_1085	NA	NA	53	6.30E-06	6	52.90524337	0	7.71E-15	1	0	0.422620107	k__Bacteria	p__Desulfobacterota	c__Syntrophorhabdia	o__Syntrophorhabdales	f__Syntrophorhabdaceae	g__Syntrophorhabdus	s__norank	NA	1	NA	NA	NA	NA
50	OTU_1087	OTU_1087	NA	NA	42	1.53E-05	10	41.87110553	7.012820513	6.21E-12	3	0	0.867202131	k__Bacteria	p__Chlamydiae	c__unidentified_Chlamydiae	o__Chlamydiales	f__cvE6	g__norank	s__norank	-0.010120776	NA	NA	NA	4	NA
51	OTU_1088	OTU_1088	NA	NA	38	5.61E-06	1	38	0	0	4	0	NA	k__Bacteria	p__Candidatus_Woesebacteria	c__Microgenomatia	o__unidentified_Microgenomatia	f__unidentified_Microgenomatia	g__unidentified_Microgenomatia	s__Candidatus_Woesebacteria_bacterium_GW2011_GWF1_31_35	NA	1	NA	NA	NA	NA
52	OTU_1089	OTU_1089	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	s__norank	2.307866635	NA	NA	NA	NA	5
53	OTU_109	OTU_109	NA	NA	4	2.43E-05	10	3.704424043	628	0.006811993	10	0	-1.3271505	k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__norank	-783.3774278	NA	NA	3	NA	5
54	OTU_1090	OTU_1090	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	NA	NA	NA	3	NA	NA
55	OTU_1091	OTU_1091	NA	NA	54	6.30E-06	7	53.94812556	3.481132075	1	2	1.11E-16	0.4594953	k__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__norank	NA	1	NA	NA	NA	NA
56	OTU_1097	OTU_1097	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__Kapabacteria	c__unidentified_Kapabacteria	o__Kapabacteriales	f__unidentified_Kapabacteriales	g__unidentified_Kapabacteriales	s__Chlorobi_bacterium_OLB6	NA	NA	2	NA	NA	NA
57	OTU_1099	OTU_1099	NA	NA	2	2.32E-05	15	1.981734777	0	3.84E-14	2	0	-1.401905058	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__unidentified_Chloroplast	g__unidentified_Chloroplast	s__Solanum_torvum	19.26871102	NA	NA	3	4	5
58	OTU_11	OTU_11	NA	NA	12	2.37E-05	13	11.5473321	48	3.62E-14	8	0	-0.740058614	k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__norank	76.65923336	1	2	3	4	5
59	OTU_110	OTU_110	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__norank	s__norank	2.307866635	1	2	3	4	5
60	OTU_1100	OTU_1100	NA	NA	36	3.80E-06	3	35.83751711	0	1.08E-16	3	0	0.225918608	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__norank	0.054116302	1	NA	NA	4	5
61	OTU_1102	OTU_1102	NA	NA	30	2.37E-05	12	29.94905296	0	4.87E-11	5	0	0.17039036	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__norank	6.876747347	NA	NA	NA	NA	5
62	OTU_1103	OTU_1103	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
63	OTU_1104	OTU_1104	NA	NA	71	1.54E-05	10	70.86088627	3.412320084	4.33E-09	2	0	0.535257834	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unidentified_Gammaproteobacteria	f__unidentified_Gammaproteobacteria	g__norank	s__norank	-0.023296404	NA	NA	3	4	NA
64	OTU_1107	OTU_1107	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Jeotgalicoccus	s__norank	NA	NA	2	NA	NA	NA
65	OTU_111	OTU_111	NA	NA	36	3.80E-06	3	35.83751711	0	5.42E-17	3	0	0.225918608	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__unidentified_Mitochondria	s__norank	0.054116302	NA	2	3	NA	5
66	OTU_1110	OTU_1110	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__unidentified_Bacteria	c__Alphaproteobacteria	o__Holosporales	f__Holosporaceae	g__norank	s__norank	2.307866635	NA	NA	3	4	5
67	OTU_1112	OTU_1112	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	NA	NA	NA	3	NA	NA
68	OTU_1114	OTU_1114	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
69	OTU_1115	OTU_1115	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Competibacterales	f__Competibacteraceae	g__Candidatus_Competibacter	s__norank	2.307866635	NA	NA	NA	NA	5
70	OTU_1116	OTU_1116	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__KF-JG30-B3	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
71	OTU_1119	OTU_1119	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatimonadales	f__Gemmatimonadaceae	g__norank	s__norank	NA	NA	NA	3	NA	NA
72	OTU_112	OTU_112	NA	NA	71	1.54E-05	10	70.86088627	3.412320084	4.33E-09	2	0	0.535257834	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Parasutterella	s__norank	-0.023296404	NA	2	NA	4	NA
73	OTU_1127	OTU_1127	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__TRA3-20	g__norank	s__norank	NA	NA	NA	3	NA	NA
74	OTU_113	OTU_113	NA	NA	242	2.45E-05	9	222.6572665	24783	0.866656741	10	0.223379551	1.578233027	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Defluviimonas	s__norank	-216.4316919	NA	2	3	4	5
75	OTU_1130	OTU_1130	NA	NA	22	5.40E-06	1	21.96832966	0	2.57E-16	7	0	NA	k__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Oscillospira	s__norank	NA	1	NA	NA	NA	NA
76	OTU_1131	OTU_1131	NA	NA	76	5.80E-06	8	75.93651058	0	0	1	0.025969529	0.194586813	k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__unidentified_Oligoflexales	g__Oligoflexus	s__norank	NA	NA	2	NA	NA	NA
77	OTU_1132	OTU_1132	NA	NA	62	5.06E-06	1	61.94166456	0	6.80E-17	2	0	NA	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Niveispirillum	s__norank	NA	NA	2	NA	NA	NA
78	OTU_1133	OTU_1133	NA	NA	38	5.53E-06	2	37.94387981	0	8.39E-17	5	0	0.216983186	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Dinghuibacter	s__norank	NA	NA	NA	3	NA	NA
79	OTU_114	OTU_114	NA	NA	8	2.33E-05	15	7.652928986	413	6.78E-18	8	0	-1.187242968	k__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__norank	g__norank	s__norank	-147.8125903	1	2	3	NA	5
80	OTU_1141	OTU_1141	NA	NA	75	1.54E-05	11	74.88662068	0	1	1	0.077511111	0.200392179	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__unidentified_Chloroplast	g__unidentified_Chloroplast	s__norank	-0.066747188	NA	NA	NA	4	NA
81	OTU_1144	OTU_1144	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__norank	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
82	OTU_1145	OTU_1145	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatimonadales	f__Gemmatimonadaceae	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
83	OTU_115	OTU_115	NA	NA	71	1.54E-05	10	70.86088627	3.412320084	4.33E-09	2	0	0.535257834	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_uniformis	-0.023296404	NA	2	NA	4	NA
84	OTU_1150	OTU_1150	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__RB41	s__norank	2.307866635	NA	NA	NA	NA	5
85	OTU_1151	OTU_1151	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__unidentified_Bacteria	c__Thermoleophilia	o__Gaiellales	f__norank	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
86	OTU_1155	OTU_1155	NA	NA	54	6.30E-06	7	53.94812556	3.481132075	1	2	1.11E-16	0.4594953	k__Bacteria	p__Chloroflexi	c__KD4-96	o__norank	f__norank	g__norank	s__norank	NA	1	NA	NA	NA	NA
87	OTU_1157	OTU_1157	NA	NA	38	5.61E-06	1	38	0	0	4	0	NA	k__Bacteria	p__unidentified_Bacteria	c__Anaerolineae	o__Caldilineales	f__Caldilineaceae	g__norank	s__norank	NA	1	NA	NA	NA	NA
88	OTU_116	OTU_116	NA	NA	20	2.43E-05	10	18.87512111	1326.5	0.030035224	10	0	0.394558257	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__SJA-15	f__norank	g__norank	s__norank	72.56281814	1	2	NA	4	5
89	OTU_1160	OTU_1160	NA	NA	53	6.30E-06	6	52.90524337	0	7.81E-15	1	0	0.422620107	k__Bacteria	p__unidentified_Bacteria	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__norank	s__norank	NA	1	NA	NA	NA	NA
90	OTU_1161	OTU_1161	NA	NA	15	2.34E-05	14	14.81437574	0	1.36E-16	8	0	-0.404670349	k__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__norank	g__norank	s__norank	20.22536998	NA	NA	NA	4	5
91	OTU_1162	OTU_1162	NA	NA	76	5.80E-06	8	75.93651058	0	0	1	0.025969529	0.194586813	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__norank	NA	NA	2	NA	NA	NA
92	OTU_1168	OTU_1168	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__unidentified_Bacteria	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
93	OTU_117	OTU_117	NA	NA	30	2.37E-05	12	29.94905296	0	4.87E-11	5	0	0.17039036	k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Paeniclostridium	s__norank	6.876747347	1	2	3	NA	5
94	OTU_1171	OTU_1171	NA	NA	46	6.11E-06	4	45.85665147	0.119047619	0	11	0	0.216314412	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unidentified_Chitinophagaceae	s__Flavihumibacter_sp	-0.021376354	NA	NA	NA	4	NA
95	OTU_1174	OTU_1174	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridia_vadinBB60_group	f__norank	g__norank	s__norank	NA	NA	2	NA	NA	NA
96	OTU_1176	OTU_1176	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__norank	s__norank	2.307866635	NA	NA	NA	4	5
97	OTU_118	OTU_118	NA	NA	5	2.30E-05	16	4.793291176	0	0	8	0	-1.522631234	k__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Dielma	s__norank	277.9539526	1	2	3	NA	5
98	OTU_1184	OTU_1184	NA	NA	24	3.69E-06	1	24	0	2.71E-17	9	0	NA	k__Bacteria	p__NB1-j	c__norank	o__norank	f__norank	g__norank	s__norank	-0.043478261	NA	NA	NA	NA	5
99	OTU_1187	OTU_1187	NA	NA	28	2.31E-05	16	27.93494699	0	0	8	1.11E-16	1.048678802	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank	1.778129178	NA	NA	NA	NA	5
100	OTU_1188	OTU_1188	NA	NA	53	6.30E-06	6	52.90524337	0	7.81E-15	1	0	0.422620107	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	NA	1	NA	NA	NA	NA
