OTUID,sort,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU115,ylxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_uniformis
OTU1150,hl,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__norank
OTU1151,hl,k__Bacteria,p__unidentified_Bacteria,c__Thermoleophilia,o__Gaiellales,f__norank,g__norank,s__norank
OTU1155,ct,k__Bacteria,p__Chloroflexi,c__KD4-96,o__norank,f__norank,g__norank,s__norank
OTU1157,ct,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Caldilineales,f__Caldilineaceae,g__norank,s__norank
OTU116,ctylmlxlhl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU1160,ct,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU1161,xlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__norank,g__norank,s__norank
OTU1162,yl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Lysinibacillus,s__norank
OTU1168,hl,k__Bacteria,p__unidentified_Bacteria,c__Desulfobulbia,o__Desulfobulbales,f__Desulfocapsaceae,g__norank,s__norank
OTU117,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Paeniclostridium,s__norank
OTU1171,xl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__unidentified_Chitinophagaceae,s__Flavihumibacter_sp
OTU1173,ct,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Candidatus_Planktoluna,s__norank
OTU1174,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_vadinBB60_group,f__norank,g__norank,s__norank
OTU1176,xlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU118,ctylmlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Dielma,s__norank
OTU1184,hl,k__Bacteria,p__NB1-j,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1187,hl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU1188,ct,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU119,ctylmlhl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU1195,xl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Cerasibacillus,s__norank
OTU1197,yl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1198,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Luedemannella,s__norank
OTU1199,ml,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Rhodoplanes,s__norank
OTU12,ylxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_circulans
OTU120,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Ruminococcus]_torques_group,s__norank
OTU1201,ct,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU1205,mlhl,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__norank,f__norank,g__norank,s__norank
OTU1209,ctmlxlhl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_paurosaccharolyticus
OTU121,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__norank
OTU1210,mlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium,s__norank
OTU1212,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__norank,s__norank
OTU1213,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU1214,ct,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1216,yl,k__Bacteria,p__unidentified_Bacteria,c__Clostridia,o__norank,f__norank,g__norank,s__norank
OTU1218,hl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,f__Defluviicoccaceae,g__Defluviicoccus,s__norank
OTU122,ctylmlxlhl,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__Ilumatobacter,s__norank
OTU1221,ml,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_2,f__norank,g__norank,s__norank
OTU1222,ctmlxl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium,s__norank
OTU1223,ct,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Crocinitomix,s__norank
OTU1227,ylhl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__norank
OTU1229,hl,k__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__norank
OTU123,ctmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__norank,s__norank
OTU1231,yl,k__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__unidentified_0319-6G20,g__unidentified_0319-6G20,s\_\_bacterium\_enrichment\_culture\_clone\_B126
OTU1232,yl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_stationis
OTU1234,ct,k__Bacteria,p__unidentified_Bacteria,c__Oligoflexia,o__Oligoflexales,f__norank,g__norank,s__norank
OTU1235,hl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank,s__norank
OTU1237,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1238,xl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Leuconostoc,s__Leuconostoc_mesenteroides
OTU1239,xl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__bacterium_enrichment_culture_clone_E8
OTU124,ylxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_garvieae
OTU1240,hl,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__norank,s__norank
OTU1244,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank,g__norank,s__norank
OTU1245,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unidentified_Gammaproteobacteria,f__unidentified_Gammaproteobacteria,g__Acidibacter,s__norank
OTU1247,hl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__norank
OTU1248,yl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU125,ctylmlxlhl,k__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurospirillaceae,g__Sulfurospirillum,s__norank
OTU1252,ct,k__Bacteria,p__Chloroflexi,c__KD4-96,o__norank,f__norank,g__norank,s__norank
OTU1254,xl,k__Bacteria,p__unidentified_Bacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__norank,s__norank
OTU1258,ct,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatales,f__Gemmataceae,g__norank,s__norank
OTU126,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_1,s__norank
OTU1263,xlhl,k__Bacteria,p__unidentified_Bacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank,g__norank,s__norank
OTU1264,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Spongiibacteraceae,g__norank,s__norank
OTU1266,xl,k__Bacteria,p__WPS-2,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1267,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1268,mlhl,k__Bacteria,p__unidentified_Bacteria,c__Vicinamibacteria,o__Vicinamibacterales,f__norank,g__norank,s__norank
OTU127,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Romboutsia,s__norank
OTU1270,ctylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1273,hl,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__norank
OTU1274,ml,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU1275,hl,k__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__norank,g__norank,s__norank
OTU1277,ctylxlhl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU1278,cthl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Aminobacter,s__norank
OTU128,ylxlhl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__norank
OTU1282,ctxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__norank
OTU1286,xl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Jeotgalibaca,s__norank
OTU129,ctmlxlhl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__DEV007,g__norank,s__norank
OTU1291,ml,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Pla1_lineage,f__norank,g__norank,s__norank
OTU1292,ml,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,s__norank
OTU1293,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,s__norank
OTU1294,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__norank
OTU1297,xl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU1298,ylxl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1299,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank,s__norank
OTU13,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unidentified_Rhizobiales,g__Alsobacter,s__norank
OTU130,ctylmlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1308,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__norank,s__norank
OTU131,ctylmlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__norank,g__norank,s__norank
OTU1311,ylhl,k__Bacteria,p__MBNT15,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1312,ct,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1314,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__PLTA13,f__norank,g__norank,s__norank
OTU1315,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnoclostridium,s__norank
OTU1317,xl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,g__Fluviicola,s__norank
OTU132,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloparacoccus,s__norank
OTU1322,hl,k__Bacteria,p__Actinobacteriota,c__MB-A2-108,o__norank,f__norank,g__norank,s__norank
OTU1327,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unidentified_Gammaproteobacteria,f__unidentified_Gammaproteobacteria,g__Acidibacter,s__norank
OTU133,ylxlhl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__norank,f__norank,g__norank,s__norank
OTU1333,hl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Edaphobaculum,s__norank
OTU1334,ml,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__norank
OTU134,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__[Eubacterium]_coprostanoligenes_group,g__norank,s__norank
OTU1340,xl,k__Bacteria,p__Firmicutes,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1341,ctylxl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ochrobactrum,s__Ochrobactrum_pseudogrignonense
OTU1344,hl,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__norank
OTU1345,hl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__norank,s__norank
OTU135,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unidentified_Gammaproteobacteria,f__unidentified_Gammaproteobacteria,g__norank,s__norank
OTU1352,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU1355,ctylhl,k__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__OPB41,f__norank,g__norank,s__norank
